"area_code","area","source_code","source","indicator_code","indicator","year_code","year","unit","value","flag"
9,"Argentina",3023,"Labour force survey",21074,"Time related underemployment distribution, agriculture, male",2010,"2010","%",0,"XI"
9,"Argentina",3023,"Labour force survey",21074,"Time related underemployment distribution, agriculture, male",2011,"2011","%",0,"XI"
9,"Argentina",3023,"Labour force survey",21074,"Time related underemployment distribution, agriculture, male",2012,"2012","%",0,"XI"
9,"Argentina",3023,"Labour force survey",21078,"Time related underemployment in agriculture",2010,"2010","1000 persons",0,"XI"
9,"Argentina",3023,"Labour force survey",21078,"Time related underemployment in agriculture",2011,"2011","1000 persons",0,"XI"
9,"Argentina",3023,"Labour force survey",21078,"Time related underemployment in agriculture",2012,"2012","1000 persons",0,"XI"
9,"Argentina",3023,"Labour force survey",21076,"Time related underemployment in agriculture, female",2010,"2010","1000 persons",0,"XI"
9,"Argentina",3023,"Labour force survey",21076,"Time related underemployment in agriculture, female",2011,"2011","1000 persons",0,"XI"
9,"Argentina",3023,"Labour force survey",21076,"Time related underemployment in agriculture, female",2012,"2012","1000 persons",0,"XI"
9,"Argentina",3023,"Labour force survey",21077,"Time related underemployment in agriculture, male",2010,"2010","1000 persons",0,"XI"
9,"Argentina",3023,"Labour force survey",21077,"Time related underemployment in agriculture, male",2011,"2011","1000 persons",0,"XI"
9,"Argentina",3023,"Labour force survey",21077,"Time related underemployment in agriculture, male",2012,"2012","1000 persons",0,"XI"
9,"Argentina",3023,"Labour force survey",21081,"Wage employment distribution, agriculture",2010,"2010","%",2.8,"XI"
9,"Argentina",3023,"Labour force survey",21081,"Wage employment distribution, agriculture",2011,"2011","%",2.9,"XI"
9,"Argentina",3023,"Labour force survey",21081,"Wage employment distribution, agriculture",2012,"2012","%",3.1,"XI"
9,"Argentina",3023,"Labour force survey",21079,"Wage employment distribution, agriculture, female",2010,"2010","%",0.2,"XI"
9,"Argentina",3023,"Labour force survey",21079,"Wage employment distribution, agriculture, female",2011,"2011","%",0.2,"XI"
9,"Argentina",3023,"Labour force survey",21079,"Wage employment distribution, agriculture, female",2012,"2012","%",0.2,"XI"
9,"Argentina",3023,"Labour force survey",21080,"Wage employment distribution, agriculture, male",2010,"2010","%",2.6,"XI"
9,"Argentina",3023,"Labour force survey",21080,"Wage employment distribution, agriculture, male",2011,"2011","%",2.6,"XI"
9,"Argentina",3023,"Labour force survey",21080,"Wage employment distribution, agriculture, male",2012,"2012","%",2.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",1982,"1982","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",1983,"1983","%",0.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",1984,"1984","%",0.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",1991,"1991","%",0.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",1992,"1992","%",0.4,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",1993,"1993","%",0.4,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",1994,"1994","%",0.4,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",1995,"1995","%",0.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",1996,"1996","%",0.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",1997,"1997","%",0.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",1998,"1998","%",0.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",1999,"1999","%",0.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",2000,"2000","%",0.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",2001,"2001","%",0.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",2002,"2002","%",1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",2003,"2003","%",1.4,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",2004,"2004","%",1.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",2005,"2005","%",1.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",2006,"2006","%",0.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",2008,"2008","%",1.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",2009,"2009","%",0.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",2010,"2010","%",1.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",2011,"2011","%",1.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",2012,"2012","%",0.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21063,"Employment distribution, agriculture",2013,"2013","%",0.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",1991,"1991","%",0,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",1992,"1992","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",1993,"1993","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",1994,"1994","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",1995,"1995","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",1996,"1996","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",1997,"1997","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",1998,"1998","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",1999,"1999","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",2000,"2000","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",2001,"2001","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",2002,"2002","%",0.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",2003,"2003","%",0.4,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",2004,"2004","%",0.4,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",2005,"2005","%",0.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",2006,"2006","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",2008,"2008","%",0.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",2009,"2009","%",0.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",2010,"2010","%",0.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",2011,"2011","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",2012,"2012","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21061,"Employment distribution, agriculture, female",2013,"2013","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",1991,"1991","%",0.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",1992,"1992","%",0.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",1993,"1993","%",0.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",1994,"1994","%",0.4,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",1995,"1995","%",0.5,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",1996,"1996","%",0.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",1997,"1997","%",0.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",1998,"1998","%",0.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",1999,"1999","%",0.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",2000,"2000","%",0.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",2001,"2001","%",0.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",2002,"2002","%",0.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",2003,"2003","%",1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",2004,"2004","%",0.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",2005,"2005","%",0.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",2006,"2006","%",0.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",2008,"2008","%",1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",2009,"2009","%",0.5,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",2010,"2010","%",1.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",2011,"2011","%",0.9,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",2012,"2012","%",0.5,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21062,"Employment distribution, agriculture, male",2013,"2013","%",0.5,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",1982,"1982","1000 persons",4.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",1983,"1983","1000 persons",9.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",1984,"1984","1000 persons",10.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",1991,"1991","1000 persons",14.9,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",1992,"1992","1000 persons",17.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",1993,"1993","1000 persons",20.9,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",1994,"1994","1000 persons",19.9,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",1995,"1995","1000 persons",25.9,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",1996,"1996","1000 persons",56.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",1997,"1997","1000 persons",61.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",1998,"1998","1000 persons",63.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",1999,"1999","1000 persons",61.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",2000,"2000","1000 persons",55.4,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",2001,"2001","1000 persons",67.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",2002,"2002","1000 persons",78.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",2003,"2003","1000 persons",124.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",2004,"2004","1000 persons",108.9,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",2005,"2005","1000 persons",107.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",2006,"2006","1000 persons",81.9,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",2008,"2008","1000 persons",122.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",2009,"2009","1000 persons",71.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",2010,"2010","1000 persons",133.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",2011,"2011","1000 persons",113.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",2012,"2012","1000 persons",66.4,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",2013,"2013","1000 persons",67.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21066,"Employment in agriculture",2014,"2014","1000 persons",60.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",1991,"1991","1000 persons",2.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",1992,"1992","1000 persons",5.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",1993,"1993","1000 persons",5.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",1994,"1994","1000 persons",3.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",1995,"1995","1000 persons",5.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",1996,"1996","1000 persons",5.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",1997,"1997","1000 persons",7.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",1998,"1998","1000 persons",7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",1999,"1999","1000 persons",7.5,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",2000,"2000","1000 persons",7.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",2001,"2001","1000 persons",9.5,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",2002,"2002","1000 persons",16,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",2003,"2003","1000 persons",37.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",2004,"2004","1000 persons",34.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",2005,"2005","1000 persons",26.4,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",2006,"2006","1000 persons",14.5,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",2008,"2008","1000 persons",15.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",2009,"2009","1000 persons",16.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",2010,"2010","1000 persons",17.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",2011,"2011","1000 persons",14.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",2012,"2012","1000 persons",13,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",2013,"2013","1000 persons",10.4,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21064,"Employment in agriculture, female",2014,"2014","1000 persons",7.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",1991,"1991","1000 persons",12.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",1992,"1992","1000 persons",12.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",1993,"1993","1000 persons",15.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",1994,"1994","1000 persons",16.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",1995,"1995","1000 persons",20.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",1996,"1996","1000 persons",50.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",1997,"1997","1000 persons",54.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",1998,"1998","1000 persons",56.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",1999,"1999","1000 persons",54.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",2000,"2000","1000 persons",47.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",2001,"2001","1000 persons",58.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",2002,"2002","1000 persons",62.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",2003,"2003","1000 persons",86.5,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",2004,"2004","1000 persons",74.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",2005,"2005","1000 persons",80.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",2006,"2006","1000 persons",67.5,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",2008,"2008","1000 persons",106.9,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",2009,"2009","1000 persons",54.9,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",2010,"2010","1000 persons",116.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",2011,"2011","1000 persons",99.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",2012,"2012","1000 persons",53.4,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",2013,"2013","1000 persons",56.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21065,"Employment in agriculture, male",2014,"2014","1000 persons",53,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21075,"Time related underemployment distribution, agriculture",2009,"2009","%",0,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21073,"Time related underemployment distribution, agriculture, female",2009,"2009","%",0,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21074,"Time related underemployment distribution, agriculture, male",2009,"2009","%",0,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21078,"Time related underemployment in agriculture",2009,"2009","1000 persons",0,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21076,"Time related underemployment in agriculture, female",2009,"2009","1000 persons",0,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21077,"Time related underemployment in agriculture, male",2009,"2009","1000 persons",0,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",1991,"1991","%",0.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",1992,"1992","%",0.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",1993,"1993","%",0.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",1994,"1994","%",0.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",1995,"1995","%",0.4,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",1996,"1996","%",0.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",1997,"1997","%",0.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",1998,"1998","%",0.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",1999,"1999","%",0.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",2000,"2000","%",0.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",2001,"2001","%",0.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",2002,"2002","%",0.9,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",2003,"2003","%",1.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",2004,"2004","%",1.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",2005,"2005","%",1.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",2006,"2006","%",0.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",2008,"2008","%",0.8,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",2009,"2009","%",0.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",2010,"2010","%",0.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",2011,"2011","%",0.7,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",2012,"2012","%",0.5,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21081,"Wage employment distribution, agriculture",2013,"2013","%",0.6,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",1991,"1991","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",1992,"1992","%",0,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",1993,"1993","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",1994,"1994","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",1995,"1995","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",1996,"1996","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",1997,"1997","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",1998,"1998","%",0,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",1999,"1999","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",2000,"2000","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",2001,"2001","%",0.1,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",2002,"2002","%",0.2,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",2003,"2003","%",0.5,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",2004,"2004","%",0.4,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",2005,"2005","%",0.3,"XI"
9,"Argentina",3026,"Labour force survey - permanent",21079,"Wage employment distribution, agriculture, female",2006,"2006","%",0.2,"XI"
